individual_image_file_path	beetleID	pictureID	length_distance_cm	width_distance_cm	scientificName	genus	species	siteID	collection_date	plotID	siteName	siteState	siteLatitude	siteLongitude	siteType	siteTerrain	evapotranspiration	max_temp	min_temp	precipitation	precipitation_hours	rain_sum	shortwave_radiation	siteDomainCode	snowfall_sum	sunshine_duration	weather_code	wind_gusts_max	wind_speed_max
A00000001831.jpg/7e443d69-bdcb-4c50-bb56-a1d9142577a6_4e7238e8-aec2-4975-98ad-6e56cc5176c2.png	A00000001831_1	A00000001831.jpg	1.11733587192332	0.637280908774737	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/60aac143-086c-43a6-b506-0a366bba545d_db0890b5-5dfc-408b-b734-4df692166c84.png	A00000001831_2	A00000001831.jpg	1.06834533711684	0.627179767507045	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/e6724668-8b07-43f2-9942-45fb3083fe35_cecdfcdb-3efc-489b-ae47-d6f6a0c8961f.png	A00000001831_3	A00000001831.jpg	1.10775446116054	0.627256322864975	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/260a517b-7144-405f-b653-2d52d79b2623_cc813dc9-7cd2-424a-8e8e-f4331a4b9a95.png	A00000001831_4	A00000001831.jpg	1.11733587192332	0.656651947005707	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/3b611aac-a4ce-4de4-83c2-9fac918e49e8_b7004f75-4211-4531-b708-a99787b82204.png	A00000001831_5	A00000001831.jpg	1.08666078089796	0.639687453694006	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/fdb2159b-634e-4bd5-af3e-31305a5726e6_bd63291d-eb06-4f56-af8d-e89c8e201d70.png	A00000001831_6	A00000001831.jpg	1.08356323602678	0.635847713225953	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/8e2abcf3-808c-4590-ba31-951974798d8a_1ec45ced-39bf-4718-85b1-dc05574ad71c.png	A00000001831_7	A00000001831.jpg	1.02297622703908	0.609552940510604	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/ada18301-841d-4233-a3b5-6a6faee974ad_77d59032-9023-4386-941d-02adc6401df1.png	A00000001831_8	A00000001831.jpg	1.17661519495865	0.618079664695509	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/34943840-47d0-44d9-8a25-66c1f3db90f4_b3109407-7c46-4654-993e-2258ddf5d2a5.png	A00000001831_9	A00000001831.jpg	1.03876648993354	0.597780715905152	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
A00000001831.jpg/416b06b7-0d4f-4a03-b56d-0007390d9c8f_68ee2676-de43-43ae-ac10-62e4bfd7d662.png	A00000001831_10	A00000001831.jpg	1.12904947320964	0.637054829097981	Chlaenius aestivus	Chlaenius	aestivus	SERC	2018-05-23	SERC_010	Smithsonian Environmental Research Center NEON	MD	38.89013	-76.56001	GRADIENT	TERRESTRIAL	4.27	26.6	18.9	2.0	6.0	2.0	22.67	D02	0.0	45603.39	61.0	34.6	14.6
